Time(h)/Currency(c);Description
1179,46.65;Price after 49 days in Legacy HC:
1203,47.86;Price after 50 days in Legacy HC:
1227,49.01;Price after 51 days in Legacy HC:
1251,50.07;Price after 52 days in Legacy HC:
1275,51.06;Price after 53 days in Legacy HC:
1299,52.18;Price after 54 days in Legacy HC:
1323,53.36;Price after 55 days in Legacy HC:
1347,54.51;Price after 56 days in Legacy HC:
1371,55.66;Price after 57 days in Legacy HC:
1395,56.78;Price after 58 days in Legacy HC:
1419,57.79;Price after 59 days in Legacy HC:
1443,58.59;Price after 60 days in Legacy HC:
1467,59.19;Price after 61 days in Legacy HC:
1491,59.92;Price after 62 days in Legacy HC:
1515,60.79;Price after 63 days in Legacy HC:
1539,61.89;Price after 64 days in Legacy HC:
1563,63.29;Price after 65 days in Legacy HC:
1587,64.5;Price after 66 days in Legacy HC:
1611,65.75;Price after 67 days in Legacy HC:
1635,67.07;Price after 68 days in Legacy HC:
1659,68.35;Price after 69 days in Legacy HC:
1683,69.53;Price after 70 days in Legacy HC:
1707,70.62;Price after 71 days in Legacy HC:
1731,71.53;Price after 72 days in Legacy HC:
1755,72.27;Price after 73 days in Legacy HC:
1779,72.6;Price after 74 days in Legacy HC:
1803,72.59;Price after 75 days in Legacy HC:
1827,72;Price after 76 days in Legacy HC:
1851,70.5;Price after 77 days in Legacy HC:
